TITLE_ID,TITLE,AUTHOR,Language,BOOK_NO,TIMES_RENTED,Category�,ISBN
353708,Charlie and the Great Glass Elevator (English),Roald Dahl,English,B0971288,11,Pre Teen,#N/A
404730,Danny the Champion of the World,Roald Dahl,English,B01010791,5,Pre Teen,#N/A
333493,George's Marvellous Medicine,Roald Dahl,English,B0972883,2,Pre Teen,#N/A
333493,George's Marvellous Medicine,Roald Dahl,English,B0977665,3,Pre Teen,#N/A
383484,James and the Giant peach,Roald Dahl,English,B0971329,5,pre Teen,#N/A
383485,Maltilda,Roald Dahl,English,B0971274,13,Pre Teen,#N/A
367703,Roald Dahl's Mischief and Mayhem,Roald Dahl,English,B0972871,1,Pre Teen,#N/A
352774,The Complete Adventures of Charlie and Mr Willy Wonka,Roald Dahl,English,B0971272,5,Fiction,#N/A
344000,The Witches,Roald Dahl,English,B0972865,8,Pre Teen,#N/A
364478,Boy and Going Solo,Roald Dahl ,English,B0971259,5,Pre Teen,#N/A
188050,PURITY IN DEATH,"Robb,J.D",English,B0981530,1,Fiction,#N/A
155764,The Secret,Robbins Harold,English,B0973265,1,Romance,#N/A
155767,The Stallion,Robbins Harold,English,B0970897,1,Fiction,#N/A
219651,The Devil We Know: Dealing With The New Iranian Superpower,Robert Baer,English,B0981507,0,History,#N/A
289742,Rich Dad Poor Dad,Robert Kiyosaki,English,B0992973,11,Self Help,#N/A
333672,The Bourne Betrayal,Robert Ludlum,English,B0971502,0,Fiction,#N/A
333673,The Bourne Deception,Robert Ludlum,English,B0971891,1,Fiction,#N/A
333683,The Bourne Objective,Robert Ludlum,English,B0971877,0,Fiction,#N/A
307383,Robert Ludlum's The Ares Decision,"Robert Ludlum, Kyle Mills",English,B0981546,0,Fiction,#N/A
247311,Nascar's Greatest Drivers (Step 5),"Roberts, Angela",English,B0971830,6,Kids,#N/A
187456,A BED OF ROSES,"Roberts, Nora",English,B0973469,2,Romance,#N/A
187135,BLACK ROSE,"Roberts, Nora",English,B0971573,4,Romance,#N/A
202545,BORN IN FIRE (REISSUE),"Roberts, Nora",English,B0971602,2,Romance,#N/A
202551,DANCE UPON THE AIR (REISSUE),"Roberts, Nora",English,B0971622,1,Romance,#N/A
187954,HIGH NOON,"Roberts, Nora",English,B0971615,1,Romance,#N/A
188061,RED LILY,"Roberts, Nora",English,B0971367,2,Romance,#N/A
151125,SAVOUR THE MOMENT,"Roberts, Nora",English,B0973474,2,Romance,#N/A
188339,VISION IN WHITE,"Roberts, Nora",English,B0973476,4,Romance,#N/A
190570,Coma,Robin Cook,English,B0970819,6,Fiction,#N/A
190576,Harmful Intent,Robin Cook,English,B0971348,2,Fiction,#N/A
189771,MUTATION (PB),Robin Cook,English,B0971347,2,Fiction,#N/A
190571,Sphinx,Robin Cook,English,B0970998,2,Fiction,#N/A
379520,The Host,Robin Cook,English,B0971006,3,Fiction,#N/A
361394,Mia Sets the Stage (English),Robin Farley ,English,B0972163,1,Kids,#N/A
416323,Little Black Book for Stunning Success,Robin Sharma,English,B01085849,1,Self Help,#N/A
380871,The Greatness Guide        (Paperback),Robin Sharma,English,B0977496,2,Self Help,#N/A
352266,Highway on My Plate - 2 : The Indian Guide to Roadside Eating (English),Rocky Singh,English,B0970404,0,Travel,#N/A
358954,Mr. Men CSB 47 : Mr. Nobody (English)        (Paperback),Roger  Hargreaves ,English,B0970500,1,Kids,#N/A
186971,Little Miss Bossy,Roger Hargreaves,English,B0970497,1,Kids,#N/A
383461,Little Miss Chatterbox,Roger Hargreaves,English,B0970499,0,Kids,#N/A
186968,Little Miss Fickle,Roger Hargreaves,English,B0970498,0,Kids,#N/A
382581,Little Miss Hug,Roger Hargreaves,English,B0970511,0,Kids,#N/A
383460,Little Miss Twins,Roger Hargreaves,English,B0970503,0,Kids,#N/A
382578,Mr. Bounce,Roger Hargreaves,English,B0970501,1,Kids,#N/A
383465,Mr. Bump (Mr. Men Classic Library),Roger Hargreaves,English,B0970508,2,Kids,#N/A
382580,Mr. Chatterbox        (P),Roger Hargreaves,English,B0970506,2,Kids,#N/A
383464,Mr. Funny (Mr. Men Classic Library),Roger Hargreaves,English,B0970509,2,Kids,#N/A
