TITLE_ID,TITLE,AUTHOR,BOOK_NO,TIMES_RENTED,ISBN,Category ,Price,Pub Year,Pages,Format
342285,You Were My Crush : Till You Said You Love Me,Orvana Ghai,B0971063,2,978-8192222677,0,,,,
342286,Now that Youre Rich : Lets Fall in Love!,Maanvi Ahuja,B0971110,2,R9780143421610,0,,,,
362355,My First Board Book of Vehicles (English)        (Hardcover),Manoj Pub. Ed. Borad  									,B0972999,2,978-8173711466,0,,,,
366186,The Ire of a Vampire : A Collection of Billy's Escapades from the House of Tinkle (English)        (Paperback),Rajani Thindiath  									,B01085889,2,978-9351678274,0,,,,
358987,Peppa Pig: George Catches a Cold (English)        (Paperback),Language: English,B0970519,2,978-0723292081,0,,,,
358985,Peppa Pig: Peppa Plays Football (English)        (Paperback),Language: English,B0970514,2,#N/A,0,,,,
359423,The Bell,Language: English,B0970557,2,R9788131918883,0,,,,
359419,12 Dancing Princess,Language: English,B0970576,2,R9788131918890,0,,,,
359445,The birth of Christ,Language: English,B0970556,2,R9788131918647,0,,,,
359435,At the Zoo,Language: English,B0971383,2,R9788131906330,0,,,,
382348,Career of Evil,"Galbraith, Robert",B0971504,2,R9780751563597,0,,,,
359571,Steve Jobs (PB),"Isaacson, Walter",B01085903,2,978-9383756506,0,,,,
383500,Best Lowly Worm Book Ever,Richard Scarry,B0972177,2,R9780007581016,0,,,,
352724,The Boy In The Dress,"Walliams, David",B0973470,2,978-1780815046,0,,,,
363025,Found (English),Harlan Coben  									,B0971458,2,978-1409135388,0,,,,
362030,Mr Mercedes,Stephen King  									,B0973052,2,978-1444788655,0,,,,
369356,Goosebumps The Movie : Monster Survival Guide (English)        (Paperback),R. L. Stine  									,B0972862,2,978-9351039778,0,,,,
369349,Goosebumps The Movie : The Movie Novel,R. L. Stine  									,B0972835,2,978-1407158150,0,,,,
368645,You're Trending in My Dreams,Sudeep Nagarkar  									,B0970391,2,#N/A,0,,,,
359317,Let Me Read: Leve 2: Chicken Licken,Sterling Press Pvt Ltd,B0973394,2,978-8129141842,0,,,,
359313,Let Me Read: Leve 2: Snow White,Sterling Press Pvt Ltd,B0973377,2,#N/A,0,,,,
364347,Angel Fever        (P),Weatherly L. A.  									,B0970608,2,#N/A,0,,,,
364353,The Bone Collector: Lincoln Rhyme Book 1,Jeffery Deaver  									,B0971377,2,R9781444791556,0,,,,
360669,The Sea of Adventure (English),Enid Blyton  									,B0971627,2,R9781447262787,0,,,,
378881,The Mini Sequel to The Alexander Secret: A Secret Revealed,Christopher C. Doyle,B0972072,2,#N/A,0,,,,
379530,You Are Not Alone In This,Vikrant Shukla,B0971107,2,R9780143417460,0,,,,
363537,The World of the Tamil Merchant : Pioneers of International Trade,Kanakalatha Mukund  									,B0970957,2,#N/A,0,,,,
361111,The Two Towers. J.R.R. Tolkien (English),J. R. R. Tolkien  									,B0970791,2,978-0008376079,0,,,,
