TITLE_ID,TITLE,AUTHOR,Language,BOOK_NO,TIMES_RENTED,Categoryï¿½,ISBN
68728,RAINBOW MAGIC: THE GREEN FAIRIES: 81: CORAL THE REEF FAIRY,"Meadows, Daisy",English,B0971917,3,Kids,978-8188934140
68737,RAINBOW MAGIC: THE MAGICAL ANIMAL FAIRIES: 72: LARA THE BLACK CAT FAIRY,"Meadows, Daisy",English,B0971902,1,Kids,978-1472381941
68736,RAINBOW MAGIC: THE MAGICAL ANIMAL FAIRIES: 73: ERIN THE FIREBIRD FAIRY,"Meadows, Daisy",English,B0971903,1,Kids,#N/A
68735,RAINBOW MAGIC: THE MAGICAL ANIMAL FAIRIES: 74: RIHANNA THE SEAHORSE FAIRY,"Meadows, Daisy",English,B0971904,0,Kids,978-0545231510
68734,RAINBOW MAGIC: THE MAGICAL ANIMAL FAIRIES: 75: SOPHIA THE SNOW SWAN FAIRY,"Meadows, Daisy",English,B0971905,2,Kids,978-1472381941
203681,RAINBOW MAGIC: THE OCEAN FAIRIES: 90: WHITNEY THE WHALE FAIRY,"Meadows, Daisy",English,B0971892,3,Kids,978-1408308202
147630,RAINBOW MAGIC: THE TWILIGHT FAIRIES: 93: LEXI THE FIREFLY FAIRY,"Meadows, Daisy",English,B0971895,1,Kids,978-1408309070
147631,RAINBOW MAGIC: THE TWILIGHT FAIRIES: 94: ZARA THE STARLIGHT FAIRY,"Meadows, Daisy",English,B0971894,2,Kids,#N/A
147632,RAINBOW MAGIC: THE TWILIGHT FAIRIES: 95: MORGAN THE MIDNIGHT FAIRY,"Meadows, Daisy",English,B0971863,2,Kids,#N/A
147633,RAINBOW MAGIC: THE TWILIGHT FAIRIES: 96: YASMIN THE NIGHT OWL FAIRY,"Meadows, Daisy",English,B0971901,0,Kids,978-1472381941
147634,RAINBOW MAGIC: THE TWILIGHT FAIRIES: 97: MAISIE THE MOONBEAM FAIRY,"Meadows, Daisy",English,B0971856,0,Kids,#N/A
147635,RAINBOW MAGIC: THE TWILIGHT FAIRIES: 98: SABRINA THE SWEET DREAMS FAIRY,"Meadows, Daisy",English,B0971857,2,Kids,978-1408309124
186610,ASHOKA (536),Meena Talim,English,B0972002,1,Kids,#N/A
186802,JATAKA TALES - MONKEY STORIES (543),Meena Talim,English,B0972007,2,Kids,978-9351952534
186637,TANAJI (682),Meena Talim,English,B0972005,2,Kids,978-8188695102
334230,Maya Saves the Day,Meera Nair,English,B0973464,3,Kids,978-1472381941
